ID	ImageURL	StationName	Latitude	Longitude	Added	Modified	Last Seen
C1256609	https://weathercam.digitraffic.fi/C1256609.jpg	st800_Puolanka_Puokio	27.343696	64.748022			
C1256701	https://weathercam.digitraffic.fi/C1256701.jpg	st849_Kiiminki_Talkkunamaa	25.791602	65.161521			
C1256702	https://weathercam.digitraffic.fi/C1256702.jpg	st849_Kiiminki_Talkkunamaa	25.791602	65.161521			
C1256709	https://weathercam.digitraffic.fi/C1256709.jpg	st849_Kiiminki_Talkkunamaa	25.791602	65.161521			
C1256801	https://weathercam.digitraffic.fi/C1256801.jpg	st837_Utajärvi_Juorkuna	26.979889	64.954537			
C1256802	https://weathercam.digitraffic.fi/C1256802.jpg	st837_Utajärvi_Juorkuna	26.979889	64.954537			
C1256809	https://weathercam.digitraffic.fi/C1256809.jpg	st837_Utajärvi_Juorkuna	26.979889	64.954537			
C1256901	https://weathercam.digitraffic.fi/C1256901.jpg	vt27_Savari	24.552758	64.064381			
C1256902	https://weathercam.digitraffic.fi/C1256902.jpg	vt27_Savari	24.552758	64.064381			
C1256909	https://weathercam.digitraffic.fi/C1256909.jpg	vt27_Savari	24.552758	64.064381			
C1257001	https://weathercam.digitraffic.fi/C1257001.jpg	st815_Oulu_Limingantie	25.504861	64.955832			
C1257002	https://weathercam.digitraffic.fi/C1257002.jpg	st815_Oulu_Limingantie	25.504861	64.955832			
C1257003	https://weathercam.digitraffic.fi/C1257003.jpg	st815_Oulu_Limingantie	25.504861	64.955832			
C1257004	https://weathercam.digitraffic.fi/C1257004.jpg	st815_Oulu_Limingantie	25.504861	64.955832			
C1257009	https://weathercam.digitraffic.fi/C1257009.jpg	st815_Oulu_Limingantie	25.504861	64.955832			
C1257101	https://weathercam.digitraffic.fi/C1257101.jpg	vt4_Ii_Taipale	25.258477	65.528236			
C1257102	https://weathercam.digitraffic.fi/C1257102.jpg	vt4_Ii_Taipale	25.258477	65.528236			
C1257107	https://weathercam.digitraffic.fi/C1257107.jpg	vt4_Ii_Taipale	25.258477	65.528236			
C1257109	https://weathercam.digitraffic.fi/C1257109.jpg	vt4_Ii_Taipale	25.258477	65.528236			
C1257201	https://weathercam.digitraffic.fi/C1257201.jpg	vt4_Oulu_Honkikangas	25.425511	65.17447			
C1257202	https://weathercam.digitraffic.fi/C1257202.jpg	vt4_Oulu_Honkikangas	25.425511	65.17447			
C1257209	https://weathercam.digitraffic.fi/C1257209.jpg	vt4_Oulu_Honkikangas	25.425511	65.17447			
C1257301	https://weathercam.digitraffic.fi/C1257301.jpg	vt5_Kuusamo_Petäjälampi	29.144609	66.013444			
C1257302	https://weathercam.digitraffic.fi/C1257302.jpg	vt5_Kuusamo_Petäjälampi	29.144609	66.013444			
C1257308	https://weathercam.digitraffic.fi/C1257308.jpg	vt5_Kuusamo_Petäjälampi	29.144609	66.013444			
C1257309	https://weathercam.digitraffic.fi/C1257309.jpg	vt5_Kuusamo_Petäjälampi	29.144609	66.013444			
C1257401	https://weathercam.digitraffic.fi/C1257401.jpg	vt5_Kajaani_Kuluntalahti	27.833495	64.260648			
C1257402	https://weathercam.digitraffic.fi/C1257402.jpg	vt5_Kajaani_Kuluntalahti	27.833495	64.260648			
C1257409	https://weathercam.digitraffic.fi/C1257409.jpg	vt5_Kajaani_Kuluntalahti	27.833495	64.260648			
C1257501	https://weathercam.digitraffic.fi/C1257501.jpg	vt5_Kajaani_Nuottijärvi_K	27.524543	64.162704			
C1257601	https://weathercam.digitraffic.fi/C1257601.jpg	vt8_Raahe_Pattijoki_K	24.561583	64.68631			
C1257702	https://weathercam.digitraffic.fi/C1257702.jpg	vt4_Siikalatva_Hyttikoski_K	25.799529	64.421923			
C1257801	https://weathercam.digitraffic.fi/C1257801.jpg	vt20_Taivalkoski_K	28.30051	65.59233			
C1257802	https://weathercam.digitraffic.fi/C1257802.jpg	vt20_Taivalkoski_K	28.30051	65.59233			
C1257809	https://weathercam.digitraffic.fi/C1257809.jpg	vt20_Taivalkoski_K	28.30051	65.59233			
C1257901	https://weathercam.digitraffic.fi/C1257901.jpg	vt8_Kalajoki_Himanka_K	23.638808	64.042047			
C1258101	https://weathercam.digitraffic.fi/C1258101.jpg	vt4_Oulu_Isko	25.474185	65.040836			
C1258102	https://weathercam.digitraffic.fi/C1258102.jpg	vt4_Oulu_Isko	25.474185	65.040836			
C1258103	https://weathercam.digitraffic.fi/C1258103.jpg	vt4_Oulu_Isko	25.474185	65.040836			
C1258104	https://weathercam.digitraffic.fi/C1258104.jpg	vt4_Oulu_Isko	25.474185	65.040836			
C1258109	https://weathercam.digitraffic.fi/C1258109.jpg	vt4_Oulu_Isko	25.474185	65.040836			
C1258301	https://weathercam.digitraffic.fi/C1258301.jpg	kt78_Puolanka_Paasikoski_K	27.701664	65.03363			
C1258302	https://weathercam.digitraffic.fi/C1258302.jpg	kt78_Puolanka_Paasikoski_K	27.701664	65.03363			
C1258309	https://weathercam.digitraffic.fi/C1258309.jpg	kt78_Puolanka_Paasikoski_K	27.701664	65.03363			
C1258401	https://weathercam.digitraffic.fi/C1258401.jpg	vt5_Hyrynsalmi_Seitenjärvi	28.465977	64.604574			
C1258402	https://weathercam.digitraffic.fi/C1258402.jpg	vt5_Hyrynsalmi_Seitenjärvi	28.465977	64.604574			
C1258408	https://weathercam.digitraffic.fi/C1258408.jpg	vt5_Hyrynsalmi_Seitenjärvi	28.465977	64.604574			
C1258409	https://weathercam.digitraffic.fi/C1258409.jpg	vt5_Hyrynsalmi_Seitenjärvi	28.465977	64.604574			
C1258501	https://weathercam.digitraffic.fi/C1258501.jpg	yt9110_Suomussalmi_Seikkala_K	29.195716	64.650044			
C1258502	https://weathercam.digitraffic.fi/C1258502.jpg	yt9110_Suomussalmi_Seikkala_K	29.195716	64.650044			
C1258509	https://weathercam.digitraffic.fi/C1258509.jpg	yt9110_Suomussalmi_Seikkala_K	29.195716	64.650044			
C1258601	https://weathercam.digitraffic.fi/C1258601.jpg	st813_Lumijoki	25.149425	64.857437			
C1258602	https://weathercam.digitraffic.fi/C1258602.jpg	st813_Lumijoki	25.149425	64.857437			
C1258609	https://weathercam.digitraffic.fi/C1258609.jpg	st813_Lumijoki	25.149425	64.857437			
C1258701	https://weathercam.digitraffic.fi/C1258701.jpg	vt4_Oulu_Pateniemi	25.441991	65.078872			
C1258702	https://weathercam.digitraffic.fi/C1258702.jpg	vt4_Oulu_Pateniemi	25.441991	65.078872			
C1258703	https://weathercam.digitraffic.fi/C1258703.jpg	vt4_Oulu_Pateniemi	25.441991	65.078872			
C1258704	https://weathercam.digitraffic.fi/C1258704.jpg	vt4_Oulu_Pateniemi	25.441991	65.078872			
C1258709	https://weathercam.digitraffic.fi/C1258709.jpg	vt4_Oulu_Pateniemi	25.441991	65.078872			
C1258801	https://weathercam.digitraffic.fi/C1258801.jpg	vt8_Pyhäjoki_Hanhikivi	24.362597	64.515729			
C1258802	https://weathercam.digitraffic.fi/C1258802.jpg	vt8_Pyhäjoki_Hanhikivi	24.362597	64.515729			
C1258809	https://weathercam.digitraffic.fi/C1258809.jpg	vt8_Pyhäjoki_Hanhikivi	24.362597	64.515729			
C1258901	https://weathercam.digitraffic.fi/C1258901.jpg	vt20_Oulu_Tullinväylä	25.493629	65.0268			
C1258902	https://weathercam.digitraffic.fi/C1258902.jpg	vt20_Oulu_Tullinväylä	25.493629	65.0268			
C1258903	https://weathercam.digitraffic.fi/C1258903.jpg	vt20_Oulu_Tullinväylä	25.493629	65.0268			
C1258904	https://weathercam.digitraffic.fi/C1258904.jpg	vt20_Oulu_Tullinväylä	25.493629	65.0268			
C1258909	https://weathercam.digitraffic.fi/C1258909.jpg	vt20_Oulu_Tullinväylä	25.493629	65.0268			
C1259001	https://weathercam.digitraffic.fi/C1259001.jpg	vt20_Kiiminki	25.775497	65.128079			
C1259002	https://weathercam.digitraffic.fi/C1259002.jpg	vt20_Kiiminki	25.775497	65.128079			
C1259003	https://weathercam.digitraffic.fi/C1259003.jpg	vt20_Kiiminki	25.775497	65.128079			
C1259004	https://weathercam.digitraffic.fi/C1259004.jpg	vt20_Kiiminki	25.775497	65.128079			
C1259009	https://weathercam.digitraffic.fi/C1259009.jpg	vt20_Kiiminki	25.775497	65.128079			
C1259101	https://weathercam.digitraffic.fi/C1259101.jpg	vt20_Kiiminki_Jääli	25.682395	65.094391			
C1259102	https://weathercam.digitraffic.fi/C1259102.jpg	vt20_Kiiminki_Jääli	25.682395	65.094391			
C1259109	https://weathercam.digitraffic.fi/C1259109.jpg	vt20_Kiiminki_Jääli	25.682395	65.094391			
C1259200	https://weathercam.digitraffic.fi/C1259200.jpg	vt22_Oulu_länsi	25.504239	65.005286			
C1259300	https://weathercam.digitraffic.fi/C1259300.jpg	vt22_Oulu_itä	25.510597	65.003887			
C1259401	https://weathercam.digitraffic.fi/C1259401.jpg	vt22_Oulu_Kaukovainio	25.537897	64.991107			
C1259402	https://weathercam.digitraffic.fi/C1259402.jpg	vt22_Oulu_Kaukovainio	25.537897	64.991107			
C1259501	https://weathercam.digitraffic.fi/C1259501.jpg	vt22_Oulu_Maikkula	25.561628	64.980371			
C1259502	https://weathercam.digitraffic.fi/C1259502.jpg	vt22_Oulu_Maikkula	25.561628	64.980371			
C1259601	https://weathercam.digitraffic.fi/C1259601.jpg	vt22_Oulu_Heikkilänkangas	25.611984	64.971424			
C1259602	https://weathercam.digitraffic.fi/C1259602.jpg	vt22_Oulu_Heikkilänkangas	25.611984	64.971424			
C1259701	https://weathercam.digitraffic.fi/C1259701.jpg	yt18710_Oulu_Kuivasjärvi	25.51173	65.063158			
C1259702	https://weathercam.digitraffic.fi/C1259702.jpg	yt18710_Oulu_Kuivasjärvi	25.51173	65.063158			
