ID	ImageURL	Name	Region	Added	Modified	Last Seen
brst101-1-c1	/webcam/brst101_1_c1.jpg	Песчатка (выезд из Республики Беларусь)	Польша			
brst101-2-c1	/webcam/brst101_2_c1.jpg	Песчатка (Въезд в Республику Беларусь)	Польша			
brst140-1	/webcam/brst140_1.jpg	Домачево (выезд из Республики Беларусь)	Польша			
brst140-2	/webcam/brst140_2.jpg	Домачево (въезд в Республику Беларусь)	Польша			
